head	relation	tail
pet_156-2039	gender	gender_3
diagnosis_16	age_group	old-age
diagnosis_16	age	age_12
diagnosis_16	weight	weight_4
diagnosis_16	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_16	disease	disease_2
diagnosis_16	memo	memo_31
diagnosis_16	symptom	cc4
diagnosis_17	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_17	age_group	superaged
diagnosis_17	age	age_15
diagnosis_17	weight	weight_7
diagnosis_17	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_17	disease	disease_2
diagnosis_17	memo	memo_33
diagnosis_17	symptom	cc5
diagnosis_18	pet_number	pet_156-3415
pet_156-3415	species	Canine
pet_156-3415	breed	Pomeranian
pet_156-3415	gender	gender_2
diagnosis_18	age_group	old-age
diagnosis_18	age	age_10
diagnosis_18	weight	weight_2
diagnosis_18	prescription	rx_4
rx_4	prescription_code	DIG022
diagnosis_18	disease	disease_2
diagnosis_18	memo	memo_35
diagnosis_18	symptom	cc2
diagnosis_19	pet_number	pet_156-3503
pet_156-3503	species	Canine
pet_156-3503	breed	Maltese
pet_156-3503	gender	gender_3
diagnosis_19	age_group	superaged
diagnosis_19	age	age_16
diagnosis_19	weight	weight_8
diagnosis_19	prescription	rx_5
rx_5	prescription_code	DIG045
diagnosis_19	disease	disease_2
diagnosis_19	memo	memo_37
diagnosis_19	symptom	cc7
diagnosis_20	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_20	age_group	superaged
diagnosis_20	age	age_17
diagnosis_20	weight	weight_5
diagnosis_20	prescription	rx_6
rx_6	prescription_code	RES026
diagnosis_20	disease	disease_2
diagnosis_20	memo	memo_39
diagnosis_20	symptom	cc5
diagnosis_21	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_21	age_group	old-age
diagnosis_21	age	age_12
diagnosis_21	weight	weight_6
diagnosis_21	prescription	rx_6
rx_6	prescription_code	RES026
diagnosis_21	disease	disease_2
diagnosis_21	memo	memo_41
diagnosis_21	symptom	cc6
diagnosis_22	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_22	age_group	superaged
diagnosis_22	age	age_15
diagnosis_22	weight	weight_7
diagnosis_22	prescription	rx_6
rx_6	prescription_code	RES026
diagnosis_22	prescription	rx_7
rx_7	prescription_code	CAR014
diagnosis_22	disease	disease_2
diagnosis_22	memo	memo_43
diagnosis_22	symptom	cc5
diagnosis_23	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_23	age_group	superaged
diagnosis_23	age	age_17
diagnosis_23	weight	weight_5
diagnosis_23	prescription	rx_8
rx_8	prescription_code	CAR028
diagnosis_23	disease	disease_2
diagnosis_23	memo	memo_45
diagnosis_23	symptom	cc5
diagnosis_24	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_24	age_group	old-age
diagnosis_24	age	age_12
diagnosis_24	weight	weight_6
diagnosis_24	prescription	rx_8
rx_8	prescription_code	CAR028
diagnosis_24	disease	disease_2
diagnosis_24	memo	memo_47
diagnosis_24	symptom	cc5
diagnosis_24	symptom	cc6
diagnosis_25	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_25	age_group	superaged
diagnosis_25	age	age_15
diagnosis_25	weight	weight_7
diagnosis_25	prescription	rx_8
rx_8	prescription_code	CAR028
diagnosis_25	disease	disease_2
diagnosis_25	memo	memo_49
diagnosis_25	symptom	cc5
diagnosis_26	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_26	age_group	superaged
diagnosis_26	age	age_17
diagnosis_26	weight	weight_5
diagnosis_26	prescription	rx_9
rx_9	prescription_code	CAR034
diagnosis_26	disease	disease_2
diagnosis_26	memo	memo_51
diagnosis_26	symptom	cc5
diagnosis_27	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_27	age_group	old-age
diagnosis_27	age	age_12
diagnosis_27	weight	weight_6
diagnosis_27	prescription	rx_9
rx_9	prescription_code	CAR034
diagnosis_27	disease	disease_2
diagnosis_27	memo	memo_53
diagnosis_27	symptom	cc5
diagnosis_27	symptom	cc6
diagnosis_28	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_28	age_group	superaged
diagnosis_28	age	age_15
diagnosis_28	weight	weight_7
diagnosis_28	prescription	rx_9
rx_9	prescription_code	CAR034
diagnosis_28	disease	disease_2
diagnosis_28	memo	memo_55
diagnosis_28	symptom	cc5
diagnosis_29	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_29	age_group	old-age
diagnosis_29	age	age_12
diagnosis_29	weight	weight_6
diagnosis_29	prescription	rx_10
rx_10	prescription_code	CAR059
diagnosis_29	disease	disease_2
diagnosis_29	memo	memo_57
diagnosis_29	symptom	cc5
diagnosis_30	pet_number	pet_156-3499
pet_156-3499	species	Canine
pet_156-3499	breed	Pomeranian
pet_156-3499	gender	gender_3
diagnosis_30	age_group	old-age
diagnosis_30	age	age_9
diagnosis_30	weight	weight_9
diagnosis_30	prescription	rx_11
rx_11	prescription_code	LIV005
diagnosis_30	disease	disease_2
diagnosis_30	memo	memo_59
diagnosis_30	symptom	cc8
diagnosis_31	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_31	age_group	superaged
diagnosis_31	age	age_17
diagnosis_31	weight	weight_5
diagnosis_31	prescription	rx_11
rx_11	prescription_code	LIV005
diagnosis_31	disease	disease_2
diagnosis_31	memo	memo_61
diagnosis_31	symptom	cc5
diagnosis_32	pet_number	pet_156-3503
pet_156-3503	species	Canine
pet_156-3503	breed	Maltese
pet_156-3503	gender	gender_3
diagnosis_32	age_group	superaged
diagnosis_32	age	age_16
diagnosis_32	weight	weight_8
diagnosis_32	prescription	rx_11
rx_11	prescription_code	LIV005
diagnosis_32	disease	disease_2
diagnosis_32	memo	memo_63
diagnosis_32	symptom	cc7
diagnosis_33	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_33	age_group	superaged
diagnosis_33	age	age_17
diagnosis_33	weight	weight_5
diagnosis_33	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_33	disease	disease_2
diagnosis_33	memo	memo_65
diagnosis_33	symptom	cc5
diagnosis_34	pet_number	pet_156-3503
pet_156-3503	species	Canine
pet_156-3503	breed	Maltese
pet_156-3503	gender	gender_3
diagnosis_34	age_group	superaged
diagnosis_34	age	age_16
diagnosis_34	weight	weight_8
diagnosis_34	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_34	disease	disease_2
diagnosis_34	memo	memo_67
diagnosis_34	symptom	cc7
diagnosis_35	pet_number	pet_156-4104
pet_156-4104	species	Canine
pet_156-4104	breed	Pomeranian
pet_156-4104	gender	gender_1
diagnosis_35	age_group	old-age
diagnosis_35	age	age_9
diagnosis_35	weight	weight_3
diagnosis_35	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_35	disease	disease_2
diagnosis_35	memo	memo_69
diagnosis_35	symptom	cc3
diagnosis_36	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_36	age_group	old-age
diagnosis_36	age	age_12
diagnosis_36	weight	weight_6
diagnosis_36	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_36	disease	disease_2
diagnosis_36	memo	memo_71
diagnosis_36	symptom	cc5
diagnosis_37	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_37	age_group	old-age
diagnosis_37	age	age_10
diagnosis_37	weight	weight_0
diagnosis_37	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_37	disease	disease_0
disease_0	main_category	피부
diagnosis_37	memo	memo_73
diagnosis_37	symptom	cc0
diagnosis_38	pet_number	pet_156-5147
pet_156-5147	species	Canine
pet_156-5147	breed	French Bulldog
pet_156-5147	gender	gender_3
diagnosis_38	age_group	old-age
diagnosis_38	age	age_7
diagnosis_38	weight	weight_1
diagnosis_38	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_38	disease	disease_1
diagnosis_38	memo	memo_75
diagnosis_38	symptom	cc1
diagnosis_39	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_39	age_group	old-age
diagnosis_39	age	age_12
diagnosis_39	weight	weight_6
diagnosis_39	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_39	disease	disease_2
diagnosis_39	memo	memo_77
diagnosis_39	symptom	cc6
diagnosis_40	pet_number	pet_156-2039
pet_156-2039	species	Canine
pet_156-2039	breed	Jack Russell Terrier
pet_156-2039	gender	gender_3
diagnosis_40	age_group	old-age
diagnosis_40	age	age_12
diagnosis_40	weight	weight_4
diagnosis_40	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_40	disease	disease_2
diagnosis_40	memo	memo_79
diagnosis_40	symptom	cc4
diagnosis_41	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_41	age_group	superaged
diagnosis_41	age	age_15
diagnosis_41	weight	weight_7
diagnosis_41	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_41	disease	disease_2
diagnosis_41	memo	memo_81
diagnosis_41	symptom	cc5
diagnosis_42	pet_number	pet_156-3415
pet_156-3415	species	Canine
pet_156-3415	breed	Pomeranian
pet_156-3415	gender	gender_2
diagnosis_42	age_group	old-age
diagnosis_42	age	age_10
diagnosis_42	weight	weight_2
diagnosis_42	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_42	disease	disease_2
diagnosis_42	memo	memo_83
diagnosis_42	symptom	cc2
diagnosis_43	pet_number	pet_156-3499
pet_156-3499	species	Canine
pet_156-3499	breed	Pomeranian
pet_156-3499	gender	gender_3
diagnosis_43	age_group	old-age
diagnosis_43	age	age_9
diagnosis_43	weight	weight_9
diagnosis_43	prescription	rx_13
rx_13	prescription_code	HOR008
diagnosis_43	disease	disease_2
diagnosis_43	memo	memo_85
diagnosis_43	symptom	cc8
diagnosis_44	pet_number	pet_156-5475
pet_156-5475	species	Canine
pet_156-5475	breed	Mixed
pet_156-5475	gender	gender_3
diagnosis_44	age_group	old-age
diagnosis_44	age	age_10
diagnosis_44	weight	weight_10
diagnosis_44	disease	disease_2
diagnosis_44	memo	memo_87
diagnosis_44	symptom	cc9
diagnosis_45	pet_number	pet_156-5484
pet_156-5484	species	Canine
pet_156-5484	breed	Maltese
pet_156-5484	gender	gender_4
diagnosis_45	age_group	old-age
diagnosis_45	age	age_11
diagnosis_45	weight	weight_11
diagnosis_45	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_45	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_45	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_45	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_45	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_45	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_45	treatment	rx_6
rx_6	treatment_code	8
diagnosis_45	disease	disease_3
disease_3	main_category	일반
diagnosis_45	memo	memo_89
diagnosis_45	symptom	cc10
diagnosis_46	pet_number	pet_156-5483
pet_156-5483	species	Canine
pet_156-5483	breed	Golden Retriever
pet_156-5483	gender	gender_3
diagnosis_46	age_group	old-age
diagnosis_46	age	age_12
diagnosis_46	weight	weight_12
diagnosis_46	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_46	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_46	treatment	rx_8
rx_8	treatment_code	TREATTX-0000-00341
diagnosis_46	disease	disease_4
disease_4	main_category	신경계
diagnosis_46	memo	memo_91
diagnosis_46	symptom	cc11
diagnosis_47	pet_number	pet_156-3499
pet_156-3499	species	Canine
pet_156-3499	breed	Pomeranian
pet_156-3499	gender	gender_3
diagnosis_47	age_group	old-age
diagnosis_47	age	age_9
diagnosis_47	weight	weight_9
diagnosis_47	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_47	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_47	disease	disease_2
diagnosis_47	memo	memo_93
diagnosis_47	symptom	cc8
diagnosis_48	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_48	age_group	superaged
diagnosis_48	age	age_17
diagnosis_48	weight	weight_5
diagnosis_48	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_48	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_48	treatment	rx_11
rx_11	treatment_code	TREATTX-0000-00410
diagnosis_48	disease	disease_2
diagnosis_48	memo	memo_95
diagnosis_48	symptom	cc5
diagnosis_49	pet_number	pet_156-3503
pet_156-3503	species	Canine
pet_156-3503	breed	Maltese
pet_156-3503	gender	gender_3
diagnosis_49	age_group	superaged
diagnosis_49	age	age_16
diagnosis_49	weight	weight_8
diagnosis_49	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_49	treatment	rx_12
rx_12	treatment_code	TREATTX-0002-00009
diagnosis_49	disease	disease_2
diagnosis_49	memo	memo_97
diagnosis_49	symptom	cc7
diagnosis_50	pet_number	pet_156-5456
pet_156-5456	species	Canine
pet_156-5456	breed	Labrador Retriever
pet_156-5456	gender	gender_2
diagnosis_50	age_group	old-age
diagnosis_50	age	age_9
diagnosis_50	weight	weight_13
diagnosis_50	treatment	rx_13
rx_13	treatment_code	TREATTX-0008-00017
diagnosis_50	disease	disease_2
diagnosis_50	memo	memo_99
diagnosis_50	symptom	cc12
diagnosis_51	pet_number	pet_156-5486
pet_156-5486	species	Canine
pet_156-5486	breed	Pomeranian
pet_156-5486	gender	gender_3
diagnosis_51	age_group	superaged
diagnosis_51	age	age_15
diagnosis_51	weight	weight_14
diagnosis_51	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_51	treatment	rx_14
rx_14	treatment_code	EA020
diagnosis_51	treatment	rx_15
rx_15	treatment_code	TREATTX-0025-00001
diagnosis_51	disease	disease_5
disease_5	main_category	안과
diagnosis_51	memo	memo_101
diagnosis_51	symptom	disease_5
diagnosis_52	pet_number	pet_156-4104
pet_156-4104	species	Canine
pet_156-4104	breed	Pomeranian
pet_156-4104	gender	gender_1
diagnosis_52	age_group	old-age
diagnosis_52	age	age_9
diagnosis_52	weight	weight_3
diagnosis_52	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_52	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_52	disease	disease_2
diagnosis_52	memo	memo_103
diagnosis_52	symptom	cc3
diagnosis_53	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_53	age_group	old-age
diagnosis_53	age	age_12
diagnosis_53	weight	weight_6
diagnosis_53	treatment	rx_6
rx_6	treatment_code	8
diagnosis_53	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_53	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_53	disease	disease_2
diagnosis_53	memo	memo_105
diagnosis_53	symptom	cc5
diagnosis_54	pet_number	pet_156-5489
pet_156-5489	species	Canine
pet_156-5489	breed	Shih Tzu
pet_156-5489	gender	gender_3
diagnosis_54	age_group	adult
diagnosis_54	age	age_6
diagnosis_54	weight	weight_15
diagnosis_54	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_54	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_54	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_54	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_54	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_54	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_54	treatment	rx_17
rx_17	treatment_code	TREATTX-0005-00018
diagnosis_54	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_54	treatment	rx_18
rx_18	treatment_code	TREATTX-0000-00266
diagnosis_54	treatment	rx_19
rx_19	treatment_code	TREATTX-0000-00144
diagnosis_54	treatment	rx_20
rx_20	treatment_code	TREATTX-0000-00031
diagnosis_54	treatment	rx_21
rx_21	treatment_code	TREATTX-0000-00395
diagnosis_54	disease	disease_2
diagnosis_54	memo	memo_107
diagnosis_54	symptom	cc13
diagnosis_54	symptom	cc14
diagnosis_54	symptom	cc15
diagnosis_54	symptom	cc16
diagnosis_54	symptom	cc17
diagnosis_55	pet_number	pet_156-5200
pet_156-5200	species	Canine
pet_156-5200	breed	Maltese
pet_156-5200	gender	gender_3
diagnosis_55	age_group	old-age
diagnosis_55	age	age_10
diagnosis_55	weight	weight_3
diagnosis_55	treatment	rx_22
rx_22	treatment_code	TREATTX-0000-00349
diagnosis_55	treatment	rx_23
rx_23	treatment_code	TREATTX-0000-00083
diagnosis_55	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_55	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_55	disease	disease_2
diagnosis_55	memo	memo_109
diagnosis_55	symptom	cc18
diagnosis_55	symptom	cc19
diagnosis_56	pet_number	pet_156-4800
pet_156-4800	species	Canine
pet_156-4800	breed	Maltese
pet_156-4800	gender	gender_3
diagnosis_56	age_group	superaged
diagnosis_56	age	age_14
diagnosis_56	weight	weight_16
diagnosis_56	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_56	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_56	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_56	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_56	treatment	rx_24
rx_24	treatment_code	TREATTX-0000-00324
diagnosis_56	treatment	rx_25
rx_25	treatment_code	TREATTX-0000-00434
diagnosis_56	disease	disease_2
diagnosis_56	memo	memo_111
diagnosis_56	symptom	cc20
diagnosis_56	symptom	cc21
diagnosis_56	symptom	cc22
diagnosis_57	pet_number	pet_156-5478
pet_156-5478	species	Canine
pet_156-5478	breed	American Bully
pet_156-5478	gender	gender_2
diagnosis_57	age_group	adult
diagnosis_57	age	age_5
diagnosis_57	weight	weight_17
diagnosis_57	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_57	treatment	rx_26
rx_26	treatment_code	HA008
diagnosis_57	treatment	rx_27
rx_27	treatment_code	TREATTX-0000-00260
diagnosis_57	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_57	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_57	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_57	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_57	treatment	rx_28
rx_28	treatment_code	TREATTX-0002-00015
diagnosis_57	treatment	rx_29
rx_29	treatment_code	TREATTX-0016-00002
diagnosis_57	disease	disease_3
disease_3	main_category	일반
diagnosis_57	disease	disease_6
diagnosis_57	memo	memo_113
diagnosis_57	symptom	cc23
diagnosis_58	pet_number	pet_156-5490
pet_156-5490	species	Canine
pet_156-5490	breed	Poodle
pet_156-5490	gender	gender_3
diagnosis_58	age_group	old-age
diagnosis_58	age	age_12
diagnosis_58	weight	weight_18
diagnosis_58	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_58	treatment	rx_14
rx_14	treatment_code	EA020
diagnosis_58	treatment	rx_30
rx_30	treatment_code	EA007
diagnosis_58	treatment	rx_31
rx_31	treatment_code	TREATTX-0000-00175
diagnosis_58	disease	disease_2
diagnosis_58	memo	memo_115
diagnosis_58	symptom	cc24
diagnosis_58	symptom	cc25
diagnosis_59	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_59	age_group	old-age
diagnosis_59	age	age_10
diagnosis_59	weight	weight_0
diagnosis_59	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_59	treatment	rx_32
rx_32	treatment_code	EH002
diagnosis_59	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_59	treatment	rx_33
rx_33	treatment_code	TREATTX-0000-00208
diagnosis_59	disease	disease_0
disease_0	main_category	피부
diagnosis_59	memo	memo_117
diagnosis_59	symptom	cc0
diagnosis_60	pet_number	pet_156-2624
pet_156-2624	species	Canine
pet_156-2624	breed	Maltese
pet_156-2624	gender	gender_4
diagnosis_60	age_group	superaged
diagnosis_60	age	age_16
diagnosis_60	weight	weight_19
diagnosis_60	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
